,filename,n_beats,tempo
268,subset/140-l-0843620-0065224-ksilvatheboss-weird-synth-pad.mp3,33,140
277,subset/140-l-0214983-0034771-steinaa-death-of-sound-acoustic-part-2.mp3,33,140
280,subset/140-l-0691889-0053265-flowcapn-crystal-horizon-stutter-pad-part-2.mp3,33,140
288,subset/140-l-2972616-0194484-nick-mira-x-iann-dior-x-poorstacy-keys.mp3,33,140
314,subset/140-l-0794457-0062854-deadstringer-bus-piano-2.mp3,33,140
315,subset/140-l-2908019-0189811-yosemite-type-drum.mp3,33,140
320,subset/140-l-2808586-0189214-80s-loop.mp3,33,140
329,subset/140-l-0480098-0056679-jamievega-stuck-on-flat-dark-ambient-chords.mp3,33,140
331,subset/140-l-0259745-0064894-ishimizu-chipped-lowfi-bass-synth.mp3,33,140
333,subset/140-l-2959154-0147900-nice-vibe-piano-loop.mp3,33,140
340,subset/140-l-0823832-0079749-kritex-david-crowe-wobbles.mp3,33,140
365,subset/140-l-3008776-0186554-space-trap-chords-v2.mp3,33,140
367,subset/140-l-3009057-0188043-hard-kick-drum-trap-loop-140-bpm.mp3,33,140
374,subset/140-l-2811812-0178120-mwaka-140.mp3,33,140
375,subset/140-l-0823832-0074766-kritex-the-future-basslines.mp3,33,140
378,subset/140-l-2815403-0195040-rip-juice-wrld.mp3,33,140
382,subset/140-l-2911467-0160629-full-of-hope.mp3,33,140
419,subset/140-l-1044386-0081730-timmydarkside-cyclone-piano.mp3,33,140
427,subset/140-l-0691889-0053333-flowcapn-complextro-dub-loop.mp3,33,140
437,subset/140-l-2887391-0150041-mandolin-loop-1.mp3,33,140
445,subset/140-l-0658685-0055434-thesavage-f140mastertwitchbass.mp3,33,140
447,subset/140-l-3038497-0155120-juice-wrld-show-me-love-with-counter-melody.mp3,33,140
453,subset/140-l-2980473-0171706-lil-tecca-x-playboi-carti-loop.mp3,33,140
476,subset/140-l-0805869-0091679-bdenney-wompy-dubstep-bass-drop.mp3,33,140
479,subset/140-l-0788612-0074687-inklewinkle2-melodic-dubstep-break-key-of-f.mp3,33,140
481,subset/140-l-1018967-0117227-atlasblue-future-bass-background-vocals.mp3,33,140
485,subset/140-l-0987154-0118302-baltesa-andreas-bassline-for-drum-loop-16b-140bpm.mp3,33,140
502,subset/140-l-0498905-0069580-optimistic-bad-noize.mp3,33,140
504,subset/140-l-0170665-0008590-oleolsen-guitar-loop-4.mp3,33,140
523,subset/140-l-1036393-0069605-mararity-bassnectar-ish-loop.mp3,33,140
527,subset/140-l-2987857-0177499-xxxtentacion-remember-chords.mp3,33,140
529,subset/140-l-0088071-0002558-asissss-crunk-shit-drum-loop1.mp3,33,140
535,subset/140-l-0935269-0071622-rauzhea-hustle-drum-2.mp3,33,140
538,subset/140-l-0460559-0058079-qwerty12-foreign-synth.mp3,33,140
547,subset/140-l-2874122-0138828-brass-loop.mp3,33,140
566,subset/140-l-2833937-0174193-glockenspiel-tings.mp3,33,140
581,subset/140-l-0813845-0093346-100percent102-dagger.mp3,33,140
582,subset/140-l-2845380-0174727-this-is-wavy-yo.mp3,33,140
583,subset/140-l-2966206-0182490-asia-meetz-europe-140.mp3,33,140
589,subset/140-l-0733692-0124538-davideborelli-land-kit-trap-flute-2.mp3,33,140
605,subset/140-l-0689594-0070955-thethclovesme-whatever-you-want-it-to-be.mp3,33,140
617,subset/140-l-0585857-0063814-kingadz12-synth-super-space-adventure-time-140bpm.mp3,33,140
624,subset/140-l-3005253-0171331-chill-guitar-melody.mp3,33,140
662,subset/140-l-0962325-0164292-dark-atmospheric-pad.mp3,33,140
687,subset/140-l-2874122-0146096-trap-sitar-loop-3.mp3,33,140
688,subset/140-l-1005538-0082723-l0new0lf-typical-dubstep-drop.mp3,33,140
701,subset/140-l-2833192-0159055-bell-loop-140bpm.mp3,33,140
760,subset/140-l-0526890-0050878-st3rl1ng-022-dubstep-bass-140-bpm.mp3,33,140
766,subset/140-l-2954754-0175708-keyscape-rhodes-polo-g-x-lil-tjay-not-alive.mp3,33,140
769,subset/140-l-0817298-0094032-enzotic-scifi-drone-fx.mp3,33,140
780,subset/140-l-0480098-0056678-jamievega-stuck-on-flat-pizzicato-rolling-bass.mp3,33,140
820,subset/140-l-0689209-0077231-neezle-jumpy-loop.mp3,33,140
839,subset/140-l-3092292-0174817-lil-peep-x-lil-tracy-loop-140-bpm.mp3,33,140
848,subset/140-l-0813845-0093347-100percent102-dawn-guitar-140bpm.mp3,33,140
864,subset/140-l-0823832-0091597-kritex-zomboy-type-of-drop.mp3,33,140
865,subset/140-l-2856554-0184537-melodic-synths.mp3,33,140
871,subset/140-l-2996256-0148659-groove-piano.mp3,33,140
900,subset/140-l-3050314-0184137-nba-youngboy-x-quondo-rondo-loop-140-bpm.mp3,33,140
903,subset/140-l-0505104-0051929-raptureofficialmusic-otto-robato.mp3,33,140
936,subset/140-l-0722037-0067099-simon224-explosion-crash-convolved.mp3,33,140
953,subset/140-l-2900535-0163851-travis-scott-vocal-loop.mp3,33,140
963,subset/140-l-0831304-0067941-dubtek-dubstep-lead.mp3,33,140
982,subset/140-l-2874014-0179370-juice-wrld-type-piano-melody.mp3,33,140
990,subset/140-l-1058438-0107177-artificial42-memories-pluck.mp3,33,140
1005,subset/140-l-0739799-0062452-nickmarshall-melody-1.mp3,33,140
1010,subset/140-l-2995012-0188259-kanpun-type-loop.mp3,33,140
1017,subset/140-l-3022366-0190272-scraped-piano-melody.mp3,33,140
1019,subset/140-l-2907216-0175669-nf-x-ynb-cordae-type-melody-dm-140bpm.mp3,33,140
1031,subset/140-l-1046123-0069734-ky0sh1r0-getting-prepared.mp3,33,140
1047,subset/140-l-2834791-0145044-lil-uzi-vert-type-loop-2.mp3,33,140
1059,subset/140-l-2815745-0165416-eden-type-ambient-pad.mp3,33,140
1066,subset/140-l-0913071-0139786-squire-strat-atmospheric-fx-1.mp3,33,140
1068,subset/140-l-2900535-0163000-money-in-my-pocket-vocal-loop.mp3,33,140
1070,subset/140-l-0768192-0061555-endreendre-insane-dubstep-drop-2.mp3,33,140
1075,subset/140-l-2829424-0175352-sort-of-edm-plucks-dry-vers.mp3,33,140
1082,subset/140-l-2940741-0170762-chopped-keys.mp3,33,140
1098,subset/140-l-0919754-0061186-necroshadow-very-sick-bass-wobble-part-2.mp3,33,140
1108,subset/140-l-1024193-0171701-trap-creepy-piano.mp3,33,140
1112,subset/140-l-0914907-0127959-autotune-on-the-pad.mp3,33,140
1153,subset/140-l-0997272-0130878-bgm-inspiration.mp3,33,140
1157,subset/140-l-0641278-0051888-skipyofficialmusic-skrillex-drum-loop-with-fx-description.mp3,33,140
1185,subset/140-l-0159051-0189999-minor2go-forgotten-bells-insurgency.mp3,33,140
1192,subset/140-l-0224205-0112109-jdubz89-riddim-dubstep-synth-2.mp3,33,140
1196,subset/140-l-3011863-0175424-saxophone-w-flute.mp3,33,140
1201,subset/140-l-2828211-0191761-sad-guitar.mp3,33,140
1204,subset/140-l-2996256-0147363-dream-weaver.mp3,33,140
1210,subset/140-l-2980739-0186993-flet-flute.mp3,33,140
1213,subset/140-l-1018967-0117229-atlasblue-future-bass-drum.mp3,33,140
1227,subset/140-l-3015730-0151104-lil-yachty-type-bells-happy-every-day.mp3,33,140
1228,subset/140-l-0653077-0070567-pennywise-dub-reece-bass.mp3,33,140
1239,subset/140-l-0857244-0070944-rojo95-lights-remix-sub-1.mp3,33,140
1271,subset/140-l-2956841-0169232-trap-harp-melody.mp3,33,140
1275,subset/140-l-1079874-0152909-thxu2.mp3,33,140
1289,subset/140-l-3002726-0187332-mighty-bouncy-hihat-and-percs-loop.mp3,33,140
1292,subset/140-l-0641036-0125671-6stringsofdoom-piano-thoughts-7-pt-1-piano.mp3,33,140
1296,subset/140-l-2858781-0189505-happy-trap-piano.mp3,33,140
1302,subset/140-l-0383121-0162554-bass-crunch-silent-hill-bass.mp3,33,140
1342,subset/140-l-2906073-0172477-scarlxrd-type-loop.mp3,33,140
1344,subset/140-l-0641278-0052000-skipyofficialmusic-skrillex-drum-loop-read-description.mp3,33,140
1346,subset/140-l-0265632-0142704-apple-bottom-jeans.mp3,33,140
1363,subset/140-l-2856554-0185180-pluck-dry.mp3,33,140
1370,subset/140-l-3063344-0184129-soaring-140.mp3,33,140
1387,subset/140-l-0831138-0083681-djgallala91-dalos-trap-synth.mp3,33,140
1413,subset/140-l-2863573-0168293-juice-wrld-x-iann-dior-type-loop.mp3,33,140
1415,subset/140-l-0480098-0056683-jamievega-stuck-on-flat-wobble.mp3,33,140
1430,subset/140-l-0935269-0071621-rauzhea-hustle-drum-1.mp3,33,140
1435,subset/140-l-0963953-0105723-peliman44-partiality-melodic-lead.mp3,33,140
1436,subset/140-l-3042005-0173794-original-23-808-and-drum-loop.mp3,33,140
1464,subset/140-l-2810878-0178384-genre-melody-decreased-2.mp3,33,140
1469,subset/140-l-0916852-0065597-reed1415-angel-voice-synth.mp3,33,140
1476,subset/140-l-2830823-0172510-lil-peep-pad-loop.mp3,33,140
1486,subset/140-l-0857244-0072127-rojo95-crazy-trap.mp3,33,140
1488,subset/140-l-2899262-0147632-reverse-half-timed-piano-140-bpm.mp3,33,140
1491,subset/140-l-0505104-0051382-raptureofficialmusic-yoing-with-the-devil.mp3,33,140
1493,subset/140-l-0789156-0060477-jayjaybb-tripania.mp3,33,140
1506,subset/140-l-1024193-0171699-trap-brass.mp3,33,140
1523,subset/140-l-2974288-0194704-smooth-piano-melodie.mp3,33,140
1528,subset/140-l-2837417-0137329-u-gonna-like-that-loop.mp3,33,140
1533,subset/140-l-0719514-0053752-robenich-rusko-style-part-3.mp3,33,140
1553,subset/140-l-0913071-0139790-synth-lead-1-squire-strat-song.mp3,33,140
1559,subset/140-l-0861313-0153409-nav-x-the-weeknd-type-sample.mp3,33,140
1573,subset/140-l-2848608-0179381-deviating-keys-part-2.mp3,33,140
1584,subset/140-l-0961032-0128736-dance-piano-chords-sidechain.mp3,33,140
1609,subset/140-l-3042005-0167773-original-18-808-and-drum-loop.mp3,33,140
1611,subset/140-l-2896020-0158143-sad-piano-melody-nba-young-boy-broken.mp3,33,140
1614,subset/140-l-2933768-0194879-lifeoftheo-ode-to-jarad-2-piano-loop.mp3,33,140
1618,subset/140-l-0170665-0008588-oleolsen-metal-guitar-loop-1.mp3,33,140
1622,subset/140-l-0641036-0125672-6stringsofdoom-piano-thoughts-7-pt-1-bells.mp3,33,140
1629,subset/140-l-2954505-0193821-sad-lil-peep-guitar.mp3,33,140
1630,subset/140-l-0505104-0051864-raptureofficialmusic-moment-of-madness-synth.mp3,33,140
1642,subset/140-l-0988492-0089108-kalokidd-groovy-bassline.mp3,33,140
1643,subset/140-l-1058438-0107125-artificial42-sand-dune-shadows-bass.mp3,33,140
1651,subset/140-l-0789156-0060855-jayjaybb-growley-dave-bass.mp3,33,140
1658,subset/140-l-0826800-0168225-flute-loop-1-no-halftime.mp3,33,140
1671,subset/140-l-3018444-0154017-cloud9.mp3,33,140
1688,subset/140-l-2946117-0146376-devil-inside-piano.mp3,33,140
1698,subset/140-l-0843620-0065223-ksilvatheboss-inspiring-flute.mp3,33,140
1703,subset/140-l-0911223-0185931-bleach-keys-140-am.mp3,33,140
1708,subset/140-l-0860807-0118763-chitex-late-night.mp3,33,140
1720,subset/140-l-2886261-0140838-dubing.mp3,33,140
1775,subset/140-l-1058438-0107174-artificial42-memories-bass-synth.mp3,33,140
1795,subset/140-l-0963953-0105721-peliman44-partiality-sub.mp3,33,140
1811,subset/140-l-2901976-0142779-soulful-piano-melody-140-bpm-c-major.mp3,33,140
1821,subset/140-l-0689209-0081557-neezle-weird-trap-thing.mp3,33,140
1842,subset/140-l-0218753-0077455-djcriz3y-i-am-a-stringer-criz.mp3,33,140
1882,subset/140-l-3092292-0180533-trippythakid-type-loop-140bpm.mp3,33,140
1902,subset/140-l-2549426-0182729-spacey-loop.mp3,33,140
1904,subset/140-l-2986523-0164665-blaze-up-some-indo-vocal-loop.mp3,33,140
1912,subset/140-l-3064512-0184162-space-harp.mp3,33,140
1933,subset/140-l-2828211-0192090-heartbroken-guitar.mp3,33,140
1937,subset/140-l-0466263-0100555-draon84-d-a-d-f-e-f-140bpm.mp3,33,140
1953,subset/140-l-2926605-0142480-good-club-progression.mp3,33,140
1979,subset/140-l-0919754-0061042-necroshadow-nice-dubstep-wobbles-part-1.mp3,33,140
1987,subset/140-l-3042005-0173792-original-22-808-and-drum-loop.mp3,33,140
1988,subset/140-l-0796811-0104023-zacwilkins-johto-8-bit-synth.mp3,33,140
2015,subset/140-l-2874620-0152308-lord-apex-type-piano-part-1.mp3,33,140
2037,subset/140-l-2856554-0184538-melodic-strings-n-lead.mp3,33,140
2045,subset/140-l-0768192-0062392-endreendre-fresh-dubstep-pad.mp3,33,140
2048,subset/140-l-2837417-0136626-globe-killer.mp3,33,140
2053,subset/140-l-2910346-0187788-playboi-carti-x-juice-wrld-x-pierre-bourne.mp3,33,140
2079,subset/140-l-1058438-0113204-artificial42-inspiration-synth.mp3,33,140
2112,subset/140-l-2829424-0175189-sort-of-edm-plucks.mp3,33,140
2139,subset/140-l-2918705-0147917-big-chunkster.mp3,33,140
2140,subset/140-l-3083729-0188170-sad-piano-style-1.mp3,33,140
2152,subset/140-l-2848608-0179380-deviating-keys-part-1.mp3,33,140
2171,subset/140-l-0540528-0108035-zodiactherapper-trap-drum-loop-ii-no-hats.mp3,33,140
2181,subset/140-l-2967116-0188450-trap-drum-loop-2.mp3,33,140
2182,subset/140-l-2833192-0180249-creepy-vibes-guitar.mp3,33,140
2198,subset/140-l-3063344-0185160-crying-140-bpm-juice-wrld-lil-skies-bell-loop.mp3,33,140
2216,subset/140-l-0843620-0065182-ksilvatheboss-smooth-trap-hip-hop-dubstep-piano.mp3,33,140
2219,subset/140-l-2812997-0163194-hard-808-loop.mp3,33,140
2221,subset/140-l-1058438-0107124-artificial42-sand-dune-shadows-pluck.mp3,33,140
2248,subset/140-l-0962892-0192339-travis-gunna-string-pad.mp3,33,140
2256,subset/140-l-0841698-0073062-byngsies-arp-square-baby-rising.mp3,33,140
2261,subset/140-l-3064512-0186694-wanka-flokka-type.mp3,33,140
2278,subset/140-l-3061598-0179294-simple-glassian.mp3,33,140
2302,subset/140-l-3088706-0155105-dark-lil-uzi-type-melody-produced-by-ele.mp3,33,140
2308,subset/140-l-2807831-0157416-metro-boomin-type-piano-melody.mp3,33,140
2312,subset/140-l-0789156-0060440-jayjaybb-swindle-synth.mp3,33,140
2338,subset/140-l-3036151-0173773-flex-piano.mp3,33,140
2343,subset/140-l-2812239-0180641-playboi-carti-type-loop-swoop.mp3,33,140
2348,subset/140-l-2983440-0168980-trap-harp-hard.mp3,33,140
2351,subset/140-l-0935269-0071623-rauzhea-hustle-808.mp3,33,140
2369,subset/140-l-0219480-0179282-whislle-flex.mp3,33,140
2387,subset/140-l-3083729-0188171-sad-piano-style-2.mp3,33,140
2395,subset/140-l-3018444-0153897-depression.mp3,33,140
2398,subset/140-l-1018967-0117230-atlasblue-future-bass-chords-2.mp3,33,140
2404,subset/140-l-2837229-0165423-chu-type-melody-2.mp3,33,140
2430,subset/140-l-0173158-0154543-cmk-hard-hihat-140bpm.mp3,33,140
2433,subset/140-l-2876586-0153758-juice-wrld-guitar.mp3,33,140
2450,subset/140-l-2858797-0168412-nba-youngboy-x-juice-wrld-type-piano-loop-danger.mp3,33,140
2454,subset/140-l-3012946-0152723-mellow-days.mp3,33,140
2455,subset/140-l-2815137-0163970-riddle-lil-uzi-vert-trap-loop.mp3,33,140
2458,subset/140-l-0920952-0134130-bass-never-turn-back-akaleboss.mp3,33,140
2474,subset/140-l-3092292-0174862-suicideboys-x-night-lovell-x-ghostemane-140-bpm.mp3,33,140
2477,subset/140-l-0526890-0050879-st3rl1ng-023-dubstep-synth-140-bpm.mp3,33,140
2481,subset/140-l-2974428-0181852-again-remaps.mp3,33,140
2485,subset/140-l-2986369-0165739-dark-pluck-and-ney.mp3,33,140
2488,subset/140-l-2805851-0179652-flutey-chop.mp3,33,140
2501,subset/140-l-3092292-0175363-night-lovell-bell-loop-140-bpm.mp3,33,140
2519,subset/140-l-2871950-0143703-electronic-plucking.mp3,33,140
2524,subset/140-l-0962892-0140415-trap-bell-loop.mp3,33,140
2533,subset/140-l-0973843-0069032-zooka21-fear-me-bass.mp3,33,140
2547,subset/140-l-3030434-0181996-retribution-guitar.mp3,33,140
2573,subset/140-l-2855214-0155908-finally-made-it-strings.mp3,33,140
2590,subset/140-l-0789156-0060860-jayjaybb-growley-dave-synth-2.mp3,33,140
2593,subset/140-l-3056971-0165409-sadness.mp3,33,140
2598,subset/140-l-3056971-0164139-darkness-2-synth.mp3,33,140
2601,subset/140-l-1036393-0069083-mararity-arpeggiated-synth.mp3,33,140
2614,subset/140-l-0598882-0136145-shadows-and-pianos.mp3,33,140
2629,subset/140-l-2824193-0144305-metro-boomin-type-piano.mp3,33,140
2630,subset/140-l-0259745-0064892-ishimizu-chipped-lowfi-lead-synth.mp3,33,140
2656,subset/140-l-0776394-0057487-dswift6-trap-wissle.mp3,33,140
2657,subset/140-l-1046123-0069792-ky0sh1r0-fatal-impact.mp3,33,140
2660,subset/140-l-0853544-0076313-rickmassacre-dubstep-drum-loop-8.mp3,33,140
2668,subset/140-l-0633575-0064433-lodderup-bumble-bee-strings.mp3,33,140
2672,subset/140-l-1058438-0107172-artificial42-memories-arp-synth.mp3,33,140
2696,subset/140-l-2847642-0150418-sad-lil-uzi-vert-melody-with-keys.mp3,33,140
2698,subset/140-l-2896020-0165440-gunna-x-roddy-ricch-guitar-melody.mp3,33,140
2707,subset/140-l-0361320-0038852-impulsion-beautiful-orchestral-piano-loop.mp3,33,140
2709,subset/140-l-0218753-0077594-djcriz3y-dark-intro-3-with-hats-criz.mp3,33,140
2714,subset/140-l-0218753-0077401-djcriz3y-dark-intro-2-criz.mp3,33,140
2734,subset/140-l-2855007-0170920-kalimba-half-timed-yung-bans-style.mp3,33,140
2738,subset/140-l-2833937-0172834-lost-souls.mp3,33,140
2748,subset/140-l-3014025-0158740-juice-wrld-style.mp3,33,140
2749,subset/140-l-0334474-0039587-waper-strings-v1.mp3,33,140
2751,subset/140-l-0643834-0056295-xray731-trap-muzik-arp.mp3,33,140
2772,subset/140-l-0107450-0167536-victorious.mp3,33,140
2789,subset/140-l-0159051-0190019-minor2go-minor2go-type-guitar-music-is-a-home.mp3,33,140
2791,subset/140-l-0159051-0190516-minor2go-synth-power-feelings-3.mp3,33,140
2798,subset/140-l-0707345-0104235-m1ntz413-excision-wub.mp3,33,140
2800,subset/140-l-2989321-0192911-happy-keys-lil-tecca.mp3,33,140
2802,subset/140-l-0843620-0065215-ksilvatheboss-trap-pop-piano.mp3,33,140
2810,subset/140-l-0689209-0080014-neezle-getting-dark-up-in-this-mother.mp3,33,140
2833,subset/140-l-2900535-0162985-vocal-loop-all-things-must-die.mp3,33,140
2857,subset/140-l-2858797-0173950-quando-rondo-type-piano-youngin.mp3,33,140
2879,subset/140-l-0798480-0083535-xxsniperxx-trap-pack-no4-hi-hat.mp3,33,140
2884,subset/140-l-1031881-0069715-reflexaudiotech1-soft-lead.mp3,33,140
2927,subset/140-l-2823619-0148549-trap-drum-loop-with-808.mp3,33,140
2929,subset/140-l-0895314-0061553-explicitcontent-xilent-4-trancestep.mp3,33,140
2932,subset/140-l-2845380-0176477-internet-money-loop.mp3,33,140
2936,subset/140-l-2840583-0157432-comethazine-type-drum-loop.mp3,33,140
2945,subset/140-l-0498905-0063889-optimistic-ghostkillers.mp3,33,140
2952,subset/140-l-0898081-0066741-followthelight-duck-duck-goose.mp3,33,140
2957,subset/140-l-0843620-0065211-ksilvatheboss-smooth-trap-choir.mp3,33,140
2963,subset/140-l-2921269-0194217-wavy-old-organ-1.mp3,33,140
2966,subset/140-l-0913071-0139784-squire-strat-main.mp3,33,140
2977,subset/140-l-2836858-0170860-ghostemane-type-melody.mp3,33,140
2988,subset/140-l-0910683-0062602-ambushjosh-simple-piano-b.mp3,33,140
3004,subset/140-l-2848608-0179929-dark-guitar-melody.mp3,33,140
3005,subset/140-l-3018444-0151799-xtasy-and-beer.mp3,33,140
3006,subset/140-l-3063344-0186697-teardrops-140-a-lil-skies-lil-xan-juice-wrld-type-loop.mp3,33,140
3013,subset/140-l-0999901-0178353-banger-808.mp3,33,140
3014,subset/140-l-0963953-0068861-peliman44-creepy-pad.mp3,33,140
3016,subset/140-l-2874122-0139441-japanese-type-trap-loop.mp3,33,140
3020,subset/140-l-2826893-0149174-dream-race-loop.mp3,33,140
3025,subset/140-l-2908655-0146458-tokyo-drum-loop.mp3,33,140
3044,subset/140-l-0159051-0190515-minor2go-synth-power-feelings-2.mp3,33,140
3050,subset/140-l-0173158-0154544-cmk-hard-kick-140bpm.mp3,33,140
3052,subset/140-l-2980739-0179678-weeknd-melancholy.mp3,33,140
3057,subset/140-l-0658685-0055432-thesavage-c140-wurmbass.mp3,33,140
3065,subset/140-l-0073162-0055514-hmnn-hmnn-slapit-dub-2.mp3,33,140
3067,subset/140-l-3012946-0152916-good-bye-mr-tien.mp3,33,140
3097,subset/140-l-2851836-0177072-sever.mp3,33,140
3116,subset/140-l-0224205-0126089-jdubz89-riddim-dubstep-synth-4.mp3,33,140
3121,subset/140-l-0173158-0154547-cmk-hard-piano-140bpm.mp3,33,140
3156,subset/140-l-0905830-0059705-danfu-arpd-beeps.mp3,33,140
3178,subset/140-l-1014075-0067225-striddy2-nice-electronic-bass-line.mp3,33,140
3181,subset/140-l-2856554-0183645-juice-wrld-space-pluck.mp3,33,140
3194,subset/140-l-0494061-0083033-tjg-woods-wav-drop-1.mp3,33,140
3209,subset/140-l-0857244-0070943-rojo95-lights-remix-sub-2.mp3,33,140
3215,subset/140-l-1074165-0079043-zsb410-dubstep-drop-18-must-die-part-2.mp3,33,140
3222,subset/140-l-2996256-0148660-thousand-island.mp3,33,140
3226,subset/140-l-0691889-0053264-flowcapn-crystal-horizon-stutter-pad-part-1.mp3,33,140
3228,subset/140-l-3012792-0148146-soft-pad-dark-angel-140bpm-min-harm-scale.mp3,33,140
3265,subset/140-l-0345547-0055403-cufool-air-synth.mp3,33,140
3270,subset/140-l-0882657-0075009-projectsynapsys-banger-squeal-pop.mp3,33,140
3298,subset/140-l-0000007-0000188-mcthrustmaster-mctm-short-snappy-bass.mp3,33,140
3302,subset/140-l-2914632-0141468-big-boomin-808.mp3,33,140
3303,subset/140-l-0840075-0077659-mariosh-trap-bangers.mp3,33,140
3305,subset/140-l-0775891-0067192-cfiredog-annihilation-heavy-growl.mp3,33,140
3307,subset/140-l-0321618-0117600-dj4kat-susurri-synth-loop.mp3,33,140
3308,subset/140-l-2809530-0134991-dylan-nav-said-my-loops-are-lit.mp3,33,140
3340,subset/140-l-0775891-0068417-cfiredog-annihilation-sub-bass.mp3,33,140
3346,subset/140-l-3008776-0190943-og-arpeggio.mp3,33,140
3362,subset/140-l-2843100-0162054-lil-uzi-x-juice-wrld-remember.mp3,33,140
3366,subset/140-l-0843620-0065222-ksilvatheboss-trippy-synth-pad.mp3,33,140
3390,subset/140-l-2910346-0178530-emotive-juice-wrld-x-pierre-bourne-x-playboi-carti.mp3,33,140
3397,subset/140-l-3054567-0194175-nick-mira-type-bells.mp3,33,140
3402,subset/140-l-3092292-0178271-lil-tecca-x-lil-skies-type-loop-140bpm.mp3,33,140
3405,subset/140-l-0962892-0141291-spooky-trap-piano.mp3,33,140
3416,subset/140-l-0609523-0161328-nv-leave-a-message-fx-140.mp3,33,140
3423,subset/140-l-0925317-0060891-dubdelta-dubstep-synth.mp3,33,140
3430,subset/140-l-3014025-0158743-minty-bell.mp3,33,140
3438,subset/140-l-2954754-0174258-keyscape-melody-light.mp3,33,140
3439,subset/140-l-3009609-0154687-travis-scott-spacey-bell-melody.mp3,33,140
3451,subset/140-l-3050639-0172709-love-bells.mp3,33,140
3464,subset/140-l-2858797-0175194-nba-youngboy-type-piano-fleur.mp3,33,140
3498,subset/140-l-0342904-0056417-breo-crazy-space-fx.mp3,33,140
3519,subset/140-l-2984289-0150872-uk-grime-melody-two.mp3,33,140
3528,subset/140-l-0213464-0054780-sovereignkonceptz-sine-prog-melodix-140.mp3,33,140
3550,subset/140-l-0857244-0070940-rojo95-lights-remix-vocal-2.mp3,33,140
3559,subset/140-l-2954682-0170044-synth-pluggy.mp3,33,140
3562,subset/140-l-0524165-0076852-mixaman-sickness-full-drum-loop.mp3,33,140
3568,subset/140-l-0831304-0067949-dubtek-dubstep-bass-c.mp3,33,140
3570,subset/140-l-3014025-0193774-bouncy-synth.mp3,33,140
3579,subset/140-l-2823619-0148876-trap-rnb-drum-loop.mp3,33,140
3581,subset/140-l-0739799-0061822-nickmarshall-old-getter-style-bass-drop.mp3,33,140
3605,subset/140-l-2984289-0152459-carousel-dream.mp3,33,140
3639,subset/140-l-0844357-0068727-flyingswine-dubstep-kick-riser.mp3,33,140
3641,subset/140-l-0420981-0051273-zatch-trance-pad-2-edit.mp3,33,140
3652,subset/140-l-2834277-0168577-6lack-x-phora-type-sample-140bpm.mp3,33,140
3679,subset/140-l-2858797-0193185-nba-youngboy-x-quando-rondo-type-piano-loop-worst.mp3,33,140
